player,r,gamble_fund
1,1000,66
94,1000,56
91,1000,48
75,1000,46
2,1000,42
45,1000,42
90,1000,38
99,1000,38
48,1000,32
57,1000,32
78,1000,30
15,1000,16
44,1000,6
19,1000,4
69,168,0
68,796,0
64,648,0
65,668,0
71,34,0
66,226,0
67,364,0
70,82,0
63,82,0
98,128,0
61,304,0
58,338,0
53,664,0
54,138,0
55,464,0
56,84,0
62,188,0
59,104,0
60,116,0
72,56,0
74,64,0
73,16,0
92,24,0
86,166,0
87,424,0
88,40,0
89,106,0
100,158,0
85,36,0
93,248,0
95,136,0
96,78,0
97,94,0
79,340,0
52,446,0
76,130,0
77,360,0
80,748,0
84,604,0
81,150,0
82,968,0
83,26,0
51,106,0
26,338,0
14,112,0
16,112,0
17,558,0
18,38,0
20,852,0
21,26,0
22,208,0
23,40,0
24,30,0
25,28,0
13,30,0
12,158,0
7,142,0
3,288,0
4,442,0
5,24,0
6,158,0
8,68,0
9,366,0
10,50,0
11,422,0
27,78,0
38,174,0
39,220,0
40,718,0
41,140,0
42,228,0
43,122,0
46,42,0
47,114,0
49,14,0
50,38,0
37,30,0
31,72,0
28,142,0
29,62,0
30,508,0
32,888,0
36,400,0
33,762,0
34,52,0
35,64,0
