player,r,gamble_fund
16,125588,0
38,116716,0
85,38124,0
42,24590,0
40,16934,0
28,16010,0
68,12530,0
86,4492,0
53,3690,0
65,3460,0
66,3212,0
55,2982,0
39,2746,0
35,2624,0
33,2236,0
17,1936,0
81,1928,0
73,1668,0
98,1636,0
97,1268,0
43,1238,0
99,1152,0
70,1082,0
2,864,0
21,760,0
12,726,0
67,698,0
4,644,0
45,624,0
82,584,0
26,582,0
29,520,0
13,520,0
95,512,0
41,508,0
91,502,0
84,462,0
78,438,0
52,436,0
44,410,0
59,356,0
20,308,0
50,294,0
74,262,0
54,256,0
1,256,0
62,238,0
7,216,0
83,210,0
47,198,0
79,190,0
75,176,0
88,160,0
87,154,0
61,152,0
63,134,0
71,128,0
80,124,0
90,122,0
31,120,0
93,116,0
77,112,0
23,104,0
51,96,0
27,94,0
76,86,0
3,86,0
89,84,0
15,82,0
49,74,0
46,72,0
69,70,0
8,68,0
58,66,0
19,64,0
37,62,0
5,62,0
60,58,0
96,58,0
56,58,0
24,58,0
18,52,0
6,52,0
48,52,0
14,52,0
25,50,0
22,48,0
94,48,0
100,46,0
57,46,0
9,40,0
30,40,0
36,36,0
92,32,0
10,30,0
64,28,0
34,24,0
11,16,0
32,14,0
72,14,0
