player,player_fund,dealer_fund,round
1,0,20,78
2,20,0,88
3,20,0,160
4,0,20,24
5,20,0,56
6,0,20,84
7,0,20,252
8,20,0,60
9,0,20,30
10,20,0,150
11,0,20,56
12,0,20,68
13,0,20,74
14,20,0,132
15,0,20,26
16,20,0,48
17,0,20,128
18,0,20,406
19,20,0,122
20,0,20,78
21,0,20,80
22,20,0,50
23,0,20,38
24,20,0,98
25,0,20,12
26,0,20,84
27,20,0,82
28,20,0,154
29,0,20,100
30,20,0,38
31,0,20,32
32,0,20,42
33,0,20,126
34,20,0,58
35,20,0,166
36,0,20,38
37,0,20,148
38,20,0,160
39,0,20,138
40,0,20,72
41,0,20,60
42,0,20,78
43,20,0,48
44,0,20,206
45,0,20,94
46,20,0,38
47,0,20,24
48,20,0,26
49,0,20,78
50,20,0,116
51,0,20,20
52,20,0,98
53,20,0,28
54,0,20,68
55,0,20,54
56,0,20,20
57,20,0,34
58,0,20,34
59,0,20,136
60,20,0,112
61,0,20,90
62,0,20,24
63,0,20,138
64,20,0,104
65,0,20,96
66,20,0,46
67,0,20,32
68,0,20,208
69,20,0,40
70,0,20,84
71,20,0,24
72,20,0,272
73,0,20,260
74,20,0,36
75,0,20,48
76,0,20,32
77,0,20,14
78,0,20,82
79,0,20,166
80,0,20,78
81,0,20,12
82,0,20,116
83,20,0,28
84,0,20,158
85,20,0,36
86,20,0,154
87,0,20,76
88,20,0,184
89,0,20,114
90,20,0,92
91,20,0,44
92,0,20,110
93,0,20,90
94,20,0,80
95,20,0,72
96,0,20,176
97,0,20,36
98,0,20,60
99,20,0,36
100,0,20,116
101,20,0,66
102,20,0,52
103,0,20,102
104,20,0,46
105,0,20,58
106,0,20,46
107,20,0,204
108,0,20,228
109,0,20,20
110,20,0,44
111,20,0,46
112,20,0,42
113,0,20,50
114,20,0,14
115,20,0,92
116,20,0,280
117,0,20,38
118,20,0,156
119,20,0,106
120,20,0,52
121,20,0,58
122,0,20,320
123,20,0,66
124,0,20,50
125,20,0,80
126,0,20,112
127,0,20,46
128,20,0,72
129,20,0,42
130,20,0,26
131,20,0,64
132,0,20,106
133,20,0,142
134,20,0,26
135,20,0,74
136,20,0,94
137,20,0,28
138,20,0,116
139,20,0,84
140,20,0,86
141,20,0,16
142,20,0,86
143,20,0,16
144,0,20,54
145,0,20,30
146,0,20,160
147,0,20,34
148,20,0,84
149,0,20,76
150,0,20,46
151,0,20,212
152,0,20,124
153,20,0,46
154,20,0,398
155,20,0,184
156,20,0,142
157,20,0,132
158,20,0,290
159,20,0,34
160,0,20,56
161,20,0,82
162,20,0,184
163,20,0,112
164,20,0,170
165,0,20,54
166,0,20,62
167,20,0,24
168,20,0,32
169,20,0,174
170,0,20,50
171,0,20,194
172,0,20,58
173,0,20,158
174,0,20,24
175,20,0,12
176,20,0,72
177,0,20,150
178,0,20,14
179,20,0,26
180,0,20,244
181,20,0,36
182,0,20,164
183,20,0,56
184,0,20,148
185,20,0,28
186,0,20,120
187,20,0,110
188,0,20,46
189,0,20,116
190,20,0,168
191,0,20,58
192,0,20,116
193,0,20,62
194,20,0,30
195,20,0,52
196,20,0,28
197,0,20,66
198,0,20,12
199,0,20,88
200,0,20,72
201,0,20,278
202,0,20,80
203,0,20,70
204,20,0,118
205,20,0,242
206,20,0,260
207,0,20,94
208,0,20,104
209,20,0,34
210,20,0,78
211,0,20,118
212,0,20,78
213,20,0,40
214,20,0,28
215,20,0,70
216,20,0,70
217,0,20,170
218,0,20,72
219,20,0,20
220,0,20,72
221,0,20,40
222,0,20,68
223,0,20,28
224,20,0,22
225,20,0,190
226,20,0,294
227,20,0,48
228,0,20,98
229,0,20,52
230,20,0,114
231,0,20,228
232,20,0,32
233,20,0,144
234,0,20,130
235,20,0,170
236,20,0,38
237,0,20,54
238,20,0,40
239,20,0,100
240,20,0,44
241,20,0,238
242,0,20,214
243,0,20,112
244,0,20,48
245,0,20,46
246,0,20,156
247,20,0,24
248,0,20,40
249,20,0,72
250,0,20,166
251,20,0,104
252,20,0,116
253,0,20,30
254,20,0,72
255,20,0,124
256,20,0,112
257,20,0,38
258,0,20,46
259,20,0,54
260,0,20,122
261,0,20,150
262,20,0,20
263,20,0,102
264,20,0,20
265,0,20,76
266,20,0,66
267,0,20,28
268,20,0,118
269,0,20,198
270,0,20,146
271,0,20,128
272,0,20,16
273,20,0,242
274,0,20,42
275,0,20,78
276,0,20,30
277,20,0,48
278,0,20,214
279,0,20,46
280,0,20,176
281,20,0,52
282,0,20,124
283,0,20,102
284,0,20,124
285,0,20,60
286,0,20,48
287,20,0,184
288,20,0,126
289,20,0,714
290,0,20,34
291,20,0,44
292,0,20,30
293,20,0,178
294,20,0,40
295,20,0,24
296,0,20,42
297,20,0,42
298,0,20,58
299,0,20,104
300,0,20,130
301,20,0,80
302,0,20,174
303,20,0,68
304,0,20,20
305,0,20,92
306,20,0,178
307,0,20,176
308,20,0,126
309,20,0,208
310,20,0,90
311,0,20,52
312,0,20,88
313,20,0,112
314,20,0,58
315,0,20,66
316,0,20,156
317,20,0,38
318,0,20,42
319,0,20,56
320,20,0,32
321,0,20,74
322,20,0,44
323,0,20,24
324,20,0,124
325,20,0,212
326,20,0,126
327,0,20,108
328,20,0,152
329,0,20,12
330,20,0,26
331,20,0,230
332,20,0,134
333,0,20,144
334,20,0,10
335,20,0,28
336,20,0,134
337,20,0,126
338,0,20,32
339,0,20,28
340,0,20,116
341,20,0,26
342,0,20,64
343,0,20,92
344,0,20,30
345,20,0,156
346,0,20,30
347,20,0,48
348,20,0,264
349,0,20,290
350,20,0,130
351,0,20,158
352,0,20,98
353,0,20,22
354,20,0,54
355,20,0,82
356,20,0,302
357,0,20,18
358,0,20,64
359,20,0,32
360,20,0,64
361,20,0,64
362,0,20,146
363,0,20,32
364,20,0,258
365,0,20,22
366,0,20,106
367,20,0,32
368,20,0,64
369,0,20,192
370,20,0,40
371,20,0,28
372,0,20,58
373,0,20,94
374,0,20,70
375,0,20,58
376,20,0,16
377,20,0,50
378,20,0,82
379,20,0,74
380,20,0,80
381,0,20,64
382,20,0,94
383,0,20,36
384,0,20,90
385,0,20,66
386,0,20,60
387,20,0,40
388,0,20,20
389,20,0,166
390,0,20,48
391,20,0,32
392,20,0,50
393,0,20,68
394,0,20,26
395,0,20,38
396,0,20,152
397,0,20,202
398,0,20,40
399,20,0,30
400,0,20,46
401,20,0,66
402,0,20,74
403,0,20,236
404,20,0,26
405,20,0,206
406,0,20,132
407,20,0,158
408,0,20,30
409,0,20,246
410,20,0,104
411,20,0,58
412,0,20,42
413,20,0,60
414,0,20,122
415,0,20,288
416,0,20,118
417,0,20,114
418,0,20,72
419,0,20,258
420,0,20,40
421,20,0,64
422,20,0,14
423,0,20,46
424,0,20,298
425,20,0,70
426,0,20,54
427,20,0,52
428,0,20,14
429,0,20,270
430,20,0,106
431,20,0,134
432,20,0,230
433,20,0,286
434,20,0,304
435,0,20,244
436,0,20,102
437,20,0,88
438,0,20,146
439,20,0,74
440,20,0,194
441,0,20,78
442,20,0,54
443,0,20,122
444,20,0,58
445,20,0,72
446,20,0,124
447,20,0,234
448,20,0,66
449,20,0,220
450,0,20,42
451,0,20,34
452,20,0,76
453,0,20,52
454,20,0,352
455,0,20,106
456,0,20,86
457,20,0,106
458,20,0,66
459,20,0,230
460,0,20,58
461,20,0,64
462,0,20,136
463,20,0,144
464,20,0,30
465,0,20,50
466,20,0,154
467,0,20,68
468,20,0,62
469,20,0,148
470,0,20,164
471,0,20,82
472,20,0,144
473,20,0,74
474,0,20,46
475,0,20,498
476,20,0,20
477,0,20,128
478,20,0,50
479,20,0,94
480,0,20,132
481,20,0,30
482,20,0,214
483,20,0,32
484,0,20,80
485,20,0,210
486,0,20,48
487,0,20,26
488,0,20,94
489,20,0,42
490,20,0,74
491,20,0,106
492,20,0,54
493,0,20,28
494,20,0,36
495,20,0,50
496,0,20,108
497,20,0,68
498,0,20,22
499,20,0,138
500,0,20,148
501,0,20,120
502,20,0,40
503,0,20,68
504,20,0,26
505,0,20,88
506,0,20,118
507,20,0,54
508,20,0,80
509,0,20,128
510,0,20,120
511,0,20,32
512,0,20,40
513,20,0,234
514,20,0,296
515,20,0,22
516,0,20,16
517,0,20,66
518,20,0,64
519,20,0,104
520,20,0,278
521,20,0,146
522,0,20,118
523,0,20,184
524,0,20,64
525,20,0,224
526,0,20,330
527,20,0,212
528,20,0,38
529,20,0,150
530,20,0,82
531,20,0,108
532,20,0,90
533,20,0,22
534,20,0,38
535,20,0,98
536,0,20,26
537,20,0,164
538,20,0,154
539,0,20,16
540,0,20,60
541,20,0,22
542,20,0,98
543,0,20,14
544,20,0,114
545,20,0,136
546,0,20,42
547,0,20,32
548,20,0,36
549,0,20,112
550,20,0,110
551,0,20,16
552,20,0,68
553,0,20,222
554,20,0,32
555,0,20,46
556,20,0,68
557,0,20,64
558,0,20,24
559,0,20,42
560,0,20,182
561,0,20,34
562,0,20,52
563,20,0,66
564,0,20,70
565,0,20,64
566,20,0,24
567,20,0,72
568,0,20,34
569,0,20,144
570,0,20,18
571,20,0,30
572,0,20,106
573,0,20,46
574,20,0,40
575,20,0,100
576,0,20,24
577,20,0,250
578,0,20,56
579,0,20,50
580,0,20,248
581,0,20,694
582,0,20,18
583,20,0,324
584,20,0,60
585,20,0,438
586,0,20,54
587,20,0,112
588,0,20,36
589,20,0,120
590,20,0,108
591,20,0,40
592,20,0,162
593,20,0,38
594,20,0,34
595,0,20,352
596,20,0,24
597,0,20,362
598,20,0,62
599,0,20,130
600,0,20,188
601,20,0,76
602,0,20,174
603,20,0,112
604,0,20,66
605,0,20,112
606,0,20,40
607,20,0,60
608,0,20,110
609,0,20,32
610,20,0,78
611,0,20,110
612,0,20,104
613,0,20,130
614,20,0,70
615,0,20,14
616,0,20,14
617,20,0,244
618,0,20,58
619,0,20,210
620,0,20,16
621,20,0,122
622,0,20,88
623,20,0,80
624,0,20,104
625,20,0,22
626,0,20,104
627,0,20,16
628,0,20,54
629,0,20,68
630,20,0,118
631,20,0,32
632,20,0,168
633,0,20,44
634,0,20,46
