player,player_fund,dealer_fund,round
1,30,0,184
2,0,30,138
3,30,0,272
4,0,30,296
5,30,0,348
6,0,30,1958
7,0,30,10
8,0,30,120
9,0,30,58
10,0,30,36
11,30,0,122
12,0,30,26
13,0,30,78
14,0,30,38
15,0,30,104
16,0,30,66
17,0,30,22
18,0,30,168
19,0,30,184
20,0,30,52
21,0,30,264
22,0,30,34
23,30,0,136
24,30,0,248
25,30,0,290
26,30,0,60
27,0,30,266
28,30,0,64
29,30,0,104
30,0,30,300
31,30,0,532
32,0,30,74
33,0,30,208
34,0,30,96
35,0,30,48
36,0,30,30
37,0,30,118
38,0,30,242
39,0,30,176
40,0,30,418
41,0,30,72
42,0,30,44
43,0,30,162
44,30,0,298
45,0,30,20
46,0,30,74
47,30,0,268
48,0,30,46
49,30,0,118
50,30,0,252
51,0,30,112
52,0,30,74
53,0,30,190
54,0,30,318
55,0,30,396
56,0,30,204
57,0,30,20
58,30,0,290
59,30,0,206
60,0,30,130
61,0,30,574
62,0,30,256
63,30,0,152
64,30,0,302
65,0,30,60
66,30,0,224
67,0,30,94
68,30,0,240
69,0,30,382
70,0,30,102
71,0,30,264
72,0,30,158
73,0,30,48
74,30,0,338
75,0,30,54
76,0,30,198
77,0,30,58
78,0,30,142
79,30,0,432
80,30,0,112
81,0,30,174
82,0,30,72
83,30,0,444
84,0,30,34
85,30,0,70
86,0,30,120
87,0,30,42
88,0,30,254
89,0,30,94
90,0,30,300
91,0,30,146
92,0,30,36
93,0,30,136
94,30,0,164
95,30,0,66
96,0,30,188
97,30,0,178
98,0,30,148
99,0,30,14
100,0,30,52
101,30,0,178
102,0,30,200
103,30,0,198
104,0,30,72
105,0,30,312
106,0,30,154
107,0,30,42
108,30,0,572
109,0,30,70
110,30,0,302
111,0,30,252
112,0,30,64
113,30,0,192
114,0,30,36
115,0,30,64
116,0,30,52
117,30,0,220
118,30,0,290
119,30,0,552
120,0,30,44
121,0,30,36
122,0,30,232
123,0,30,30
124,0,30,488
125,30,0,126
126,0,30,1082
127,0,30,78
128,0,30,14
129,0,30,142
130,0,30,60
131,0,30,108
132,0,30,80
133,0,30,106
134,0,30,108
135,30,0,330
136,0,30,74
137,0,30,34
138,30,0,184
139,0,30,76
140,0,30,376
141,0,30,124
142,30,0,226
143,0,30,202
144,30,0,304
145,0,30,144
146,0,30,68
147,0,30,178
148,0,30,240
149,0,30,1206
150,30,0,286
151,0,30,276
152,0,30,98
153,0,30,48
154,0,30,48
155,30,0,58
156,0,30,94
157,30,0,246
158,30,0,100
159,30,0,398
160,0,30,48
161,30,0,108
162,0,30,172
163,0,30,38
164,30,0,402
165,0,30,84
166,30,0,90
167,0,30,110
168,30,0,530
169,0,30,18
170,30,0,274
171,0,30,280
172,30,0,918
173,30,0,152
174,0,30,32
175,0,30,282
176,0,30,630
177,30,0,430
178,30,0,244
179,0,30,14
180,0,30,40
181,0,30,100
182,30,0,84
183,0,30,236
184,30,0,166
185,30,0,236
186,0,30,84
187,30,0,212
188,0,30,28
189,30,0,100
190,0,30,140
191,30,0,164
192,30,0,110
193,0,30,58
194,30,0,342
195,30,0,410
196,0,30,26
197,30,0,418
198,30,0,408
199,30,0,582
200,30,0,272
201,30,0,664
202,30,0,150
203,0,30,122
204,30,0,196
205,0,30,26
206,0,30,110
207,0,30,50
208,0,30,42
209,0,30,60
210,30,0,596
211,0,30,20
212,30,0,86
213,30,0,108
214,30,0,202
215,0,30,24
216,0,30,50
217,0,30,82
218,0,30,310
219,0,30,46
220,30,0,128
221,30,0,122
222,0,30,258
223,0,30,20
224,0,30,32
225,30,0,400
226,0,30,106
227,0,30,146
228,30,0,384
229,0,30,152
230,0,30,80
231,0,30,130
232,0,30,76
233,30,0,186
234,0,30,68
235,0,30,38
236,0,30,162
237,30,0,230
238,0,30,38
239,30,0,146
240,30,0,58
241,0,30,116
242,0,30,444
243,30,0,152
244,30,0,232
245,0,30,92
246,0,30,180
247,30,0,252
248,30,0,334
249,30,0,192
250,0,30,380
251,0,30,232
252,0,30,472
253,0,30,174
254,0,30,592
255,30,0,202
256,0,30,106
257,0,30,50
258,0,30,52
259,0,30,84
260,30,0,292
261,0,30,98
262,0,30,58
263,0,30,30
264,0,30,72
265,30,0,688
266,0,30,32
267,0,30,42
268,0,30,168
269,0,30,62
270,0,30,12
271,0,30,34
272,0,30,60
273,0,30,182
274,0,30,196
275,0,30,186
276,0,30,600
277,30,0,272
278,0,30,18
279,0,30,48
280,30,0,592
281,0,30,158
282,30,0,130
283,30,0,178
284,0,30,214
285,30,0,248
286,30,0,334
287,0,30,296
288,0,30,38
289,0,30,20
290,30,0,154
291,30,0,266
292,0,30,232
293,0,30,546
294,0,30,160
295,0,30,222
296,30,0,352
297,30,0,126
298,0,30,28
299,0,30,428
300,30,0,334
301,30,0,444
302,0,30,220
303,0,30,102
304,30,0,260
305,0,30,268
306,0,30,118
307,30,0,66
308,30,0,94
309,0,30,160
310,0,30,112
311,0,30,452
312,0,30,518
313,0,30,72
314,0,30,38
315,0,30,172
316,30,0,116
317,0,30,488
318,0,30,158
319,30,0,260
320,0,30,232
321,0,30,60
322,0,30,66
323,30,0,82
324,30,0,222
325,30,0,60
326,30,0,224
327,0,30,34
328,30,0,874
329,30,0,102
330,0,30,26
331,0,30,142
332,30,0,96
333,30,0,430
334,30,0,174
335,0,30,24
336,0,30,122
337,0,30,34
338,0,30,172
339,0,30,54
340,0,30,70
341,30,0,94
342,0,30,342
343,0,30,312
344,0,30,140
345,30,0,260
346,0,30,134
347,0,30,388
348,0,30,76
349,30,0,172
350,30,0,194
351,30,0,226
352,30,0,790
353,0,30,48
354,0,30,98
355,30,0,144
356,0,30,156
357,30,0,606
358,0,30,148
359,0,30,460
360,0,30,108
361,30,0,202
362,0,30,26
363,0,30,64
364,30,0,98
365,0,30,24
366,30,0,60
367,0,30,264
368,30,0,162
369,0,30,40
370,30,0,142
371,30,0,138
372,0,30,392
373,0,30,162
374,30,0,104
375,30,0,374
376,0,30,778
377,30,0,202
378,30,0,176
379,0,30,300
380,30,0,136
381,30,0,96
382,0,30,616
383,0,30,958
384,30,0,168
385,0,30,64
386,0,30,438
387,30,0,914
388,30,0,238
389,0,30,312
390,0,30,96
391,0,30,50
392,0,30,178
